ITEM,ZONA,DESCRIÇÃO DO DOCUMENTO,DT-INICIO,DT-FIM,GUARDA,UNID. TEMPO,DESTINAÇÃO,QUANTIDADE,CONSERVAÇÃO,DESCRICAO,DT_PROC,EVENTO
435,9,CAR.GERCOM. 031/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
436,9,Oficio n. 34/2012 - ASJUIZ,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
437,9,CAR.GERCOM. 035/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
438,9,Oficio d- 04 1 /2012/GAB/SATEC/DRF/RBO-AC,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
439,9,Oficio n. 42,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
440,9,Oficio n 045 — CRE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
441,9,OFÍCIO/ CMBJ N 48/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
442,9,Oficio n 48/2012/Gabinete Corregedoria/DPGU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
443,9,OFÍCIO/ EAC/N. 51/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
444,9,OFIRDA/N57/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
445,9,Ofic n 063 — CRE,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
446,9,Oficio n. 064/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
447,9,Oficio n. 67/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
448,9,Oficio n 69 / URAP AHL / 2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
449,9,OFÍCIO N. 084/EEEFIML,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
450,9,Oficio n 117 — CRE,,2012,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
451,9,Oficio n. 117/2012- PR/AC/PRE/FJP,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
452,9,Oficio n 130/2012/PRES/OAB/AC,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
453,9,OFÍCIO n2. 130/2012 PROVITA/AC,,2012,2,ano,Eliminação,8,Bom,Outro,30/05/2022,484647
454,9,OFÍCIO n. 134 CRE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
455,9,Oficio n 141 — CRE,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
456,9,Oficio n. 163/2012 — SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
457,9,Oficio n. 164/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
458,9,Oficio n 165 — CRE,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
459,9,Oficio n. 165/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
460,9,Oficio n. 166/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
461,9,Oficio n. 167/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
462,9,Oficio n. 168/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
463,9,Oficio n. 171/2012 - SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
464,9,Oficio n 188/GAB,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
465,9,Oficio n 192— CRE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
466,9,Oficio n 299/ SUPER/ DEPASA- RIO BRANCO,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
467,9,Oficio n 343/GAB,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
468,9,Oficio n.2 549/2012-CRE,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
469,9,OF/DIPRE/EMURB/N 639/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
470,9,GABJU n 802/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
471,9,Oficio n896/ DAF/ SEMSUR,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
472,9,OFÍCIO N 901/2012/GAB/SEE,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
473,9,OFÍCIO N904/2012/GAB/SEE,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
474,9,Oficio n 2652/2012 - SR/DPF/AC,,2012,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
475,9,Oficio n 3076/2012 - IPL 0374/2012-4 - SR/DPF/AC,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
476,9,OFÍCIO / DPGE /2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
477,9,SECVA/Of .0 756,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
478,9,OF. GP. N 108,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
479,9,OF/JE/4aZE/AC/N 011,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
480,9,OF/MP /PJELEITORAL/ SM/N 005/2013,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
481,9,Oficio n.001/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
482,9,Oficio n. 001/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
483,9,Oficio n 002/2013,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
484,9,Oficio n. 002/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
485,9,Oficio n. 003/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
486,9,Oficio n. 003/ GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
487,9,Oficio n. 004/ GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
488,9,Oficio n.004/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
489,9,Oficio n. 004/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
490,9,Oficio n.005/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
491,9,Oficio n. 005/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
492,9,Oficio n. 006/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
493,9,Oficio n. 006/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
494,9,Oficio n. 007/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
495,9,OFICIO N 0008/2013/PFN/AC/GAB,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
496,9,Oficio n. 008/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
497,9,Oficio n. 008/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
498,9,Oficio n 09/2013 - 42 ZE,,2013,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
499,9,OF. N. 09/2013/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
500,9,Oficio n. 009/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
501,9,Oficio n. 010/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
502,9,Oficio n. 010/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
503,9,Oficio n. 011/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
504,9,Oficio n. 012/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
505,9,Oficio n. 012/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
506,9,Oficio n. 013/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
507,9,Oficio n. 013/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
508,9,Oficio n. 014/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
509,9,Oficio n. 014/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
510,9,Oficio n. 15/2013/JE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
511,9,Oficio n. 016/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
512,9,Oficio n. 016/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
513,9,Oficio n. 017/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
514,9,Oficio n. 017/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
515,9,Oficio n. 018/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
516,9,Oficio n. 018/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
517,9,Oficio n. 018/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
518,9,Oficio n. 019/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
519,9,Oficio n. 019/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
520,9,Oficio n. 19/JE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
521,9,Oficio n. 020/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
522,9,Oficio n. 20/JE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
523,9,Oficio n. 021/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
524,9,Oficio n.021/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
525,9,Oficio n. 022/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
526,9,Oficio n.022/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
527,9,Oficio n. 023/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
528,9,Oficio n. 024/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
529,9,Oficio n. 024/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
530,9,Oficio n. 025/CE,,2013,2,ano,Eliminação,33,Bom,Outro,30/05/2022,484647
531,9,Oficio n. 026/CE,,2013,2,ano,Eliminação,9,Bom,Outro,30/05/2022,484647
532,9,Oficio n. 027/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
533,9,Oficio n. 028/CE,,2013,2,ano,Eliminação,28,Bom,Outro,30/05/2022,484647
534,9,Oficio n. 028/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
535,9,Oficio n. 029/CE,,2013,2,ano,Eliminação,21,Bom,Outro,30/05/2022,484647
536,9,Oficio n. 029/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
537,9,Oficio n. 30/CE,,2013,2,ano,Eliminação,13,Bom,Outro,30/05/2022,484647
538,9,Oficio n. 030/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
539,9,Oficio n. 031/CE,,2013,2,ano,Eliminação,19,Bom,Outro,30/05/2022,484647
540,9,OF/GABJU N. 31,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
541,9,OF. N. 32/2013 AG. AQUIRI,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
542,9,Oficio n. 032/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
543,9,Oficio n. 32/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
544,9,Oficio n 033/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
545,9,Oficio n. 33/GABJU,,2013,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
546,9,Oficio n. 33/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
547,9,Oficio n. 034/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
548,9,Oficio n. 34/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
549,9,Oficio n. 035/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
550,9,Oficio n. 37/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
551,9,Oficio n. 38/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
552,9,Oficio n. 039/CE,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
553,9,Oficio n. 39/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
554,9,Oficio n. 40/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
555,9,Oficio n41,,2013,2,ano,Eliminação,16,Bom,Outro,30/05/2022,484647
556,9,Oficio n. 041/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
557,9,Oficio n. 41/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
558,9,Oficio n. 042/CE,,2013,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
559,9,Oficio n. 42/GABJU,,2013,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
560,9,Oficio n. 42/GABJU,,2013,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
561,9,Oficio n. 043/CE,,2013,2,ano,Eliminação,25,Bom,Outro,30/05/2022,484647
562,9,Oficio n. 044/CE,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
563,9,Oficio n. 045/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
564,9,Oficio n. 046/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
565,9,Oficio n. 047/CE,,2013,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
566,9,Oficio n. 048/CE,,2013,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
567,9,Oficio n. 049/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
568,9,Oficio n. 050/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
569,9,Oficio n. 051/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
570,9,Oficio n. 052/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
571,9,Oficio n. 053/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
572,9,Oficio n. 054/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
573,9,Oficio n. 055/CE,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
574,9,Oficio n. 056/CE,,2013,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
575,9,Oficio n. 057/CE,,2013,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
576,9,Oficio n. 060/CE,,2013,2,ano,Eliminação,25,Bom,Outro,30/05/2022,484647
577,9,Oficio n. 061/2013 - SEJUD,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
578,9,Oficio n. 62/GABJU,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
579,9,Oficio n. 64/GABJU,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
580,9,Oficio n. 70 — CETZ,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
581,9,Oficio n. 088/2013 - SEJUD,,2013,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
582,9,Oficio n. 138/GAB,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
583,9,Oficio n. 139/GAB,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
584,9,Oficio n. 140/GAB,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
585,9,Oficio re 144/GAB,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
586,9,Oficio n. 217/GAB,,2013,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
587,9,Oficio n 387/2013,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
588,9,Oficio n. 422/GAB,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
589,9,OFÍCIO N 1410/2013/PFN/AC/REQ,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
590,9,Oficio n. 018/ASJUIZ,,2013,2,ano,Eliminação,28,Bom,Outro,30/05/2022,484647
591,9,OFÍCIO N 0702/2013/PFN/AC/REQ,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
592,9,OF/PCN-AC N2 001/2013,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
593,9,Oficio PMB- Município de Rio Branco-AC,,2013,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
594,9,OF. PP/AC/17.2013,,2013,2,ano,Eliminação,16,Bom,Outro,30/05/2022,484647
595,9,Oficio: 809/2013,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
596,9,Oficio n 002/2013,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
597,9,Oficio n. 0648/2013/PFN/AC/REQ,,2013,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
598,9,SECVA/OF n. 52,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
599,9,OFICIO/SEPES N 160,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
600,9,OFÍCIO N 1075/2013/PFN/AC/REQ,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
601,9,GABJU n 800/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
602,9,OF/PCN-AC Ng 004/2013,,2013,2,ano,Eliminação,19,Bom,Outro,30/05/2022,484647
603,9,OFÍCIO N.9 07/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
604,9,MPE/PGJ/6aPJC/OF. N. 08/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
605,9,OFICIO N 13/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
606,9,OFÍCIO N 17/PEZ9a,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
607,9,Oficio n 21/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
608,9,OF/EDV/N 023/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
609,9,OFÍCIO N. 27/JE,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
610,9,OF/EEFMHL/N028,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
611,9,Oficio-Circular n. 29/GAB,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
612,9,Oficio n 030/2012/CEP Floresta,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
613,9,Oficio n. 34/GAB,,2014,2,ano,Eliminação,20,Bom,Outro,30/05/2022,484647
614,9,Oficio n. 44/ 2014/JE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
615,9,OF. PSDB/AC N2 47/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
616,9,Oficio n.073/CE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
617,9,OF. PSDB/AC N 074,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
618,9,Oficio n. 077/2014 — SEJUD,,2014,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
619,9,OFÍCIO/CC/DEAJ 086,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
620,9,OFICIO N 093/2014/PGAAAI,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
621,9,OFIC10 n 111 — GRE,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
622,9,OFÍCIO n 120— CRE,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
623,9,OFÍCIO CAP-AC/N 122,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
624,9,Oficio n. 127/GAB,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
625,9,OFÍCIO N. 127/2014/PRE/AC,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
626,9,Oficio n.133/CT,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
627,9,OFÍCIO n 133 — CRE,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
628,9,Oficio n. 140/GAB,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
629,9,Oficio n. 142/CE,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
630,9,Oficio n 151/14/IAPEN/URF-2/RB,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
631,9,OFÍCIO N. 167/2014/PRE/AC,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
632,9,OFICIO/S.S.S N 170/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
633,9,Oficio n 235/2014/GEQUALIT,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
634,9,Oficio N267/GAB,,2014,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
635,9,Oficio N 287/2014 GAB/SEE,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
636,9,Oficio n. 302/GAB,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
637,9,Oficio n. 303/GAB,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
638,9,Oficio n. 315/2014/PAB - Justiça Federal/AC,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
639,9,Oficio n. 332/GAB,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
640,9,Oficio n. 333/GAB,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
641,9,Oficio-n. 349/GAB,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
642,9,OFÍCIO N357/GAB-SUBCMT/ 2014,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
643,9,Oficio n. 489/14/IAPEN/URF-F e URS-F/RB/GAB,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
644,9,Oficio n. 497/2013,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
645,9,Oficio/GABJU n498,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
646,9,OF. GP. N 498,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
647,9,OF. GP. N. 499,,2013,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
648,9,OFICIO.n689/DIMANEJO,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
649,9,Oficio n 759/14/IAPEN/GAB,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
650,9,OF. N 961 /12/1APEN/GAB,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
651,9,Oficio N. 1160/GAB. SEMSUR,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
652,9,OF/SEMSUR'N. 1175/2014,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
653,9,Oficio n. 1179/GAB. SEMSUR,,2014,2,ano,Eliminação,11,Bom,Outro,30/05/2022,484647
654,9,Of. n 1210/P-1/4 BPM/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
655,9,TCE-AC/GP/OF/N 1312/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
656,9,Oficio n 1338/2014/SGA/GABIN — (ADA 06-14-0008274),,2014,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
657,9,Oficio n. 1.614 CGE,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
658,9,Oficio n 2050/2014 - RE 0016/2014-4 SR/DPF/AC,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
659,9,Oficio n 2121/2014 - SR/DPF/AC,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
660,9,OFÍCIO 2162/2014/SPR,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
661,9,Oficio n 2887/2014 - IPL 0391/2014-4 SR/DPF/AC,,2014,2,ano,Eliminação,7,Bom,Outro,30/05/2022,484647
662,9,Oficio/n001,,2010,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
663,9,Oficio n. 026/2014 — SEJUD,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
664,9,Oficio C.I. n. 028/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
665,9,Oficio n. 38/JE/2014,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
666,9,Oficio n. 068/2014 - SEJUD,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
667,9,Oficio n. 132/CE,,2014,2,ano,Eliminação,14,Bom,Outro,30/05/2022,484647
668,9,Oficio CGPU n198/2014,,2014,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
669,9,OFICIO/SEPLAN/DP/N 203/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
670,9,Oficio n 659/14/IAPEN/GAB,,2014,2,ano,Eliminação,8,Bom,Outro,30/05/2022,484647
671,9,Oficio 00661/2014-SESV/GENEG/ACR,,2014,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
672,9,Oficio n 738/14/IAPEN/GAB,,2014,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
673,9,OF/GAB/SEAPROF/N 819/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
674,9,OF/CEMAN/N 967/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
675,9,Oficio rt. 2191/2014,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
676,9,Oficio n 2481/SGA/GAB (ADA 06-14-0015609),,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
677,9,Oficio n. 002/CE,,2014,2,ano,Eliminação,8,Bom,Outro,30/05/2022,484647
678,9,Oficio n. 003/CE,,2014,2,ano,Eliminação,28,Bom,Outro,30/05/2022,484647
679,9,Oficio n.005/CE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
680,9,Oficio n.006/CE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
681,9,Oficio n. 008/CE,,2014,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
682,9,Oficio n. 009/CE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
683,9,Oficio n. 013/CE,,2014,2,ano,Eliminação,24,Bom,Outro,30/05/2022,484647
684,9,Oficio n. 014/CE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
685,9,Oficio n. 015/CE,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
686,9,Oficio n. 016/CE,,2014,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
687,9,Oficio n. 016/CE,,2014,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
